Date,Sales
2024-03-14,1241
2024-03-13,1721
2024-03-12,1521
2024-03-11,804
2024-03-10,663
2024-03-09,1445
2024-03-08,801
2024-03-07,1014
2024-03-06,1543
2024-03-05,555
2024-03-04,1714
2024-03-03,1160
2024-03-02,795
2024-03-01,349
2024-02-29,679
2024-02-28,223
2024-02-27,1407
2024-02-26,1851
2024-02-25,1527
2024-02-24,1695
2024-02-23,579
2024-02-22,876
2024-02-21,647
2024-02-20,481
2024-02-19,779
2024-02-18,1986
2024-02-17,1785
2024-02-16,1387
2024-02-15,866
2024-02-14,468
2024-02-13,1832
2024-02-12,421
2024-02-11,1695
2024-02-10,1977
2024-02-09,1983
2024-02-08,1422
2024-02-07,1174
2024-02-06,1400
2024-02-05,1201
2024-02-04,1410
2024-02-03,734
2024-02-02,1854
2024-02-01,1811
2024-01-31,1869
2024-01-30,1280
2024-01-29,596
2024-01-28,887
2024-01-27,1706
2024-01-26,1721
2024-01-25,1996
2024-01-24,575
2024-01-23,543
2024-01-22,304
2024-01-21,377
2024-01-20,1159
2024-01-19,817
2024-01-18,214
2024-01-17,1289
2024-01-16,1585
2024-01-15,1813
2024-01-14,784
2024-01-13,1692
2024-01-12,512
2024-01-11,999
2024-01-10,1512
2024-01-09,243
2024-01-08,717
2024-01-07,525
2024-01-06,280
2024-01-05,1851
2024-01-04,930
2024-01-03,256
2024-01-02,1230
2024-01-01,1811
2023-12-31,1379
2023-12-30,1124
2023-12-29,1802
2023-12-28,1195
2023-12-27,1087
2023-12-26,1786
2023-12-25,266
2023-12-24,675
2023-12-23,1954
2023-12-22,700
2023-12-21,823
2023-12-20,561
2023-12-19,308
2023-12-18,1056
2023-12-17,605
2023-12-16,967
2023-12-15,1832
2023-12-14,1451
2023-12-13,1328
2023-12-12,1987
2023-12-11,817
2023-12-10,1445
2023-12-09,263
2023-12-08,1736
2023-12-07,302
2023-12-06,780
2023-12-05,396
2023-12-04,1848
2023-12-03,1159
2023-12-02,499
2023-12-01,1119
2023-11-30,452
2023-11-29,990
2023-11-28,752
2023-11-27,1276
2023-11-26,1952
2023-11-25,1090
2023-11-24,1071
2023-11-23,1193
2023-11-22,1728
2023-11-21,1701
2023-11-20,733
2023-11-19,986
2023-11-18,343
2023-11-17,1718
2023-11-16,1021
2023-11-15,1532
2023-11-14,1426
2023-11-13,298
2023-11-12,1408
2023-11-11,525
2023-11-10,842
2023-11-09,672
2023-11-08,950
2023-11-07,1033
2023-11-06,1703
2023-11-05,1531
2023-11-04,1720
2023-11-03,1670
2023-11-02,1904
2023-11-01,964
2023-10-31,998
2023-10-30,800
2023-10-29,1997
2023-10-28,1664
2023-10-27,720
2023-10-26,1776
2023-10-25,1464
2023-10-24,782
2023-10-23,770
2023-10-22,1682
2023-10-21,1069
2023-10-20,363
2023-10-19,574
2023-10-18,1495
2023-10-17,620
2023-10-16,942
2023-10-15,1343
2023-10-14,662
2023-10-13,1726
2023-10-12,1659
2023-10-11,1344
2023-10-10,373
2023-10-09,1458
2023-10-08,1989
2023-10-07,1224
2023-10-06,1671
2023-10-05,446
2023-10-04,1096
2023-10-03,959
2023-10-02,329
2023-10-01,1623
2023-09-30,422
2023-09-29,410
2023-09-28,709
2023-09-27,688
2023-09-26,1379
2023-09-25,1348
2023-09-24,919
2023-09-23,1877
2023-09-22,1284
2023-09-21,899
2023-09-20,696
2023-09-19,1734
2023-09-18,681
2023-09-17,1516
2023-09-16,1942
2023-09-15,368
2023-09-14,285
2023-09-13,1514
2023-09-12,811
2023-09-11,911
2023-09-10,1057
2023-09-09,1112
2023-09-08,1452
2023-09-07,1975
2023-09-06,659
2023-09-05,599
2023-09-04,1640
2023-09-03,1729
2023-09-02,1083
2023-09-01,1644
2023-08-31,797
2023-08-30,508
2023-08-29,1417
2023-08-28,1109
2023-08-27,1341
2023-08-26,744
2023-08-25,1699
2023-08-24,532
2023-08-23,1533
2023-08-22,1813
2023-08-21,1378
2023-08-20,1705
2023-08-19,1683
2023-08-18,1845
2023-08-17,1976
2023-08-16,1345
2023-08-15,1850
2023-08-14,1453
2023-08-13,215
2023-08-12,729
2023-08-11,663
2023-08-10,1465
2023-08-09,444
2023-08-08,1362
2023-08-07,1454
2023-08-06,1456
2023-08-05,366
2023-08-04,511
2023-08-03,836
2023-08-02,1213
2023-08-01,1016
2023-07-31,1402
2023-07-30,1799
2023-07-29,1958
2023-07-28,1421
2023-07-27,1632
2023-07-26,1427
2023-07-25,627
2023-07-24,1330
2023-07-23,488
2023-07-22,1513
2023-07-21,1196
2023-07-20,1624
2023-07-19,1510
2023-07-18,1745
2023-07-17,308
2023-07-16,1011
2023-07-15,1461
2023-07-14,893
2023-07-13,914
2023-07-12,1014
2023-07-11,708
2023-07-10,1795
2023-07-09,742
2023-07-08,860
2023-07-07,1070
2023-07-06,1630
2023-07-05,531
2023-07-04,239
2023-07-03,625
2023-07-02,317
2023-07-01,1882
2023-06-30,580
2023-06-29,516
2023-06-28,1251
2023-06-27,332
2023-06-26,1767
2023-06-25,2000
2023-06-24,1268
2023-06-23,934
2023-06-22,572
2023-06-21,605
2023-06-20,879
2023-06-19,942
2023-06-18,747
2023-06-17,379
2023-06-16,538
2023-06-15,444
2023-06-14,624
2023-06-13,1079
2023-06-12,1451
2023-06-11,571
2023-06-10,1193
2023-06-09,1771
2023-06-08,652
2023-06-07,1994
2023-06-06,532
2023-06-05,959
2023-06-04,387
2023-06-03,1796
2023-06-02,1637
2023-06-01,203
2023-05-31,1499
2023-05-30,345
2023-05-29,1806
2023-05-28,560
2023-05-27,832
2023-05-26,780
2023-05-25,1317
2023-05-24,827
2023-05-23,1507
2023-05-22,1899
2023-05-21,497
2023-05-20,466
2023-05-19,832
2023-05-18,325
2023-05-17,1764
2023-05-16,1914
2023-05-15,1032
2023-05-14,1088
2023-05-13,1763
2023-05-12,1846
2023-05-11,883
2023-05-10,560
2023-05-09,646
2023-05-08,1790
2023-05-07,1124
2023-05-06,355
2023-05-05,1111
2023-05-04,423
2023-05-03,435
2023-05-02,493
2023-05-01,225
2023-04-30,1860
2023-04-29,811
2023-04-28,1322
2023-04-27,323
2023-04-26,378
2023-04-25,1551
2023-04-24,807
2023-04-23,1034
2023-04-22,1279
2023-04-21,1632
2023-04-20,1803
2023-04-19,565
2023-04-18,1091
2023-04-17,1264
2023-04-16,1641
2023-04-15,510
2023-04-14,1410
2023-04-13,558
2023-04-12,1828
2023-04-11,1540
2023-04-10,1947
2023-04-09,1630
2023-04-08,746
2023-04-07,1407
2023-04-06,1490
2023-04-05,527
2023-04-04,605
2023-04-03,741
2023-04-02,596
2023-04-01,840
2023-03-31,267
2023-03-30,390
2023-03-29,1103
2023-03-28,323
2023-03-27,1830
2023-03-26,873
2023-03-25,922
2023-03-24,1947
2023-03-23,788
2023-03-22,1704
2023-03-21,1891
2023-03-20,1400
2023-03-19,1991
2023-03-18,265
2023-03-17,911
2023-03-16,1321
